qid,aid1,pid1,act1,aid2,pid2,act2,sim,rel,ma,pac
104_13,3301,673,listen to someone talk about her/his fears,4599,933,talk to friends on skype,2.0,2.42857,2.85714,0.85714
104_14,889,184,play with two cats,4780,969,take one's 2 dogs for a walk,2.14286,2.85714,3.28571,-0.0
104_15,2108,434,pick flowers,3294,671,watch college football,0.0,0.0,0.14286,-1.14286
104_16,798,165,vacuum the house,1546,322,wash dishes after dinner,1.85714,2.85714,3.28571,0.42857
104_17,4396,892,fold laundry,2121,437,shop for school clothes,1.0,1.57143,1.14286,-0.14286
104_18,3134,639,record one's own music,648,134,listen to the radio,1.0,1.85714,1.85714,0.14286
104_19,4524,918,walk to the store,1323,275,walk to the top of a lighthouse,0.85714,1.85714,1.57143,0.14286
104_20,3752,763,go clothes shopping,2218,456,buy jewelery for one's daughter,1.57143,2.28571,2.57143,0.85714
104_21,4748,962,hike in a new park,3541,721,drive around to look at sights with family in new home area,0.85714,1.71429,1.85714,0.85714
104_22,4832,979,paint,2837,580,work on a new crochet pattern,1.0,1.28571,1.85714,0.42857
104_23,1144,239,take a long bubble bath,1500,312,go to beach to relax,1.42857,1.71429,2.57143,-0.0
104_24,2696,552,play chess,3812,775,take a finite math test,0.71429,0.85714,1.14286,0.42857
104_25,4527,918,play golf,2767,566,comb one's hair,0.0,0.0,0.0,-0.28571
105_1,3557,724,have scout meeting,2614,535,sew with a sewing machine,0.125,0.0,0.0,-0.25
105_2,1988,410,paint one's daughter's bedroom,4010,815,paint the baby's room,3.25,3.25,3.375,1.5
105_3,604,124,spend time with one's family,4300,873,spend time with window experts getting second opinions on installation,0.5,1.25,0.625,-0.5
105_4,2764,565,do a wood carving,4460,905,sketch ideas for sculptures,1.875,2.25,3.125,0.25
105_5,3717,756,plant hostas in back yard,4088,830,doctor a horse,0.0,0.0,0.375,-0.5
105_6,4871,987,experiment with and explore one's new phone,3736,760,play a game on one's phone,1.875,2.375,2.5,0.25
105_7,1575,328,make a cherry pie,3870,787,walk on the treadmill,0.0,0.125,0.0,-0.75
105_8,4007,814,go to class,244,49,travel to another state,0.75,0.625,0.25,0.375
105_9,1523,317,bag up things for goodwill,4331,879,clean out clothes and take the clothes for donation at a thrift store,3.125,3.125,2.875,0.875
105_10,2210,455,vacuum one's house,2231,459,install a new solid state hard drive,0.125,0.25,0.375,-0.625
105_11,1667,346,take transit to work,883,182,commute to work,3.375,3.5,3.375,0.5
105_12,3958,804,eat in a restaurant with one's family,4792,971,eat out at a restaurant with partner,3.25,3.0,3.0,1.375
105_13,3903,793,walk with the dogs in the woods,4513,915,go hiking in the woods with one's girlfriend/boyfriend,2.625,2.625,2.5,1.25
105_14,4320,877,watch a movie,299,60,watch anime,2.375,2.75,2.875,0.25
105_15,4891,991,work on remodeling rooms in one's home,3121,637,paint one's bedroom,2.375,2.5,2.75,1.25
105_16,3245,662,play an online game,2116,436,play a game on one's computer,3.75,3.5,3.875,1.25
105_17,354,71,write an email to an apartment realitor in trying to find a new apartment,2232,459,move into a new apartment,1.75,2.5,2.5,1.5
105_18,2593,531,change one's bed sheet and pillow cases,4712,955,wash the sheets and remaking the bed,3.375,3.375,3.25,1.75
105_19,4693,951,sweep and mopped the kitchen floor,2698,552,sweep and clean the house,3.5,3.625,3.75,1.625
105_20,1647,342,play skyrim,1801,373,play fallout 3,3.125,3.375,3.875,0.625
105_21,114,24,have iced coffee and toast,1363,283,eat breakfast,2.75,2.625,3.5,0.25
105_22,2216,456,speak with one's friend after a long time,4840,981,finish reading a book one has been working on for a long time,0.5,0.375,0.375,-0.0
105_23,11,2,do daily housework,3631,739,do some meditation,0.375,0.75,0.125,0.25
105_24,4493,911,go to the pet blessing at church,45,9,go to church services,2.25,2.875,2.5,0.875
105_25,2775,568,go to a bass pro elite competition,3006,614,go fishing at a local lake and catch bass,1.625,2.5,1.5,1.125
106_1,271,55,play a sports with friends,2285,470,have a three day party with friends,0.85714,1.14286,2.28571,0.14286
106_2,4091,831,detail one's entire house for the inspection,4218,856,have one's car inspected,1.0,1.0,1.85714,0.71429
106_3,4347,882,make dinner for one's kids,3668,746,make dinner for oneself and significant other,3.71429,3.42857,3.71429,1.0
106_4,1531,318,go on a dating app,4735,960,go on a date,2.14286,2.14286,3.14286,0.42857
106_5,1543,321,craft one's inspiration angels,2567,526,eat lunch at 5 guys,0.0,0.0,0.0,-0.57143
106_6,4892,991,pick apples off of trees,4302,873,spend time with a friend helping her pick the italian plums off of her plum tree in her backyard,3.0,3.0,2.42857,1.0
106_7,4899,993,read,4053,823,read online news stories,3.42857,3.42857,3.14286,1.42857
106_8,4595,932,go for a walk,3632,739,go for a long walk,3.71429,3.57143,3.71429,1.71429
106_9,313,63,go to a movie with friends,1513,315,go shopping with friends,1.57143,1.42857,2.85714,1.28571
106_10,3297,672,sweep the floor,4440,901,install a new door sweep,1.0,1.14286,1.71429,0.14286
106_11,1881,389,watch all the matrix movies in a row,4557,924,watch movies,2.71429,2.57143,2.57143,0.85714
106_12,4273,867,write an article,3182,649,eat fast food,0.0,0.14286,0.28571,-0.14286
106_13,1969,406,attend a meeting at one's son's school,879,182,eat with coworkers,0.0,0.0,0.28571,-0.28571
106_14,832,172,go to the bar,207,42,stop at mcdonald's and buy one's dog his plain hamburger and buy a ice cream cone for oneself,0.14286,0.14286,0.57143,-0.28571
106_15,4930,999,do laundry,2144,441,wash laundry,3.85714,3.85714,4.0,1.71429
106_16,4311,875,go to the pool,2239,460,go swimming at the town pool,3.71429,4.0,3.85714,1.71429
106_17,1526,317,do a ton of laundry,4782,969,do a load of laundy,4.0,4.0,3.85714,1.42857
106_18,3336,680,eat dinner by oneself,817,168,have a dinner and movie night with oneself,3.28571,3.28571,3.28571,1.57143
106_19,269,54,go to hospital with one's daughter,2663,545,visit a family member at the hospital,3.14286,3.0,3.57143,0.71429
106_20,2663,545,visit a family member at the hospital,1534,319,go to see one's sister in the hospital,3.85714,3.85714,3.71429,1.42857
106_21,4485,910,water the plants in the garden,2157,444,water the plants every morning,3.71429,3.57143,4.0,1.71429
106_22,3938,800,go out to dinner with a friend,907,188,go out to dinner with one's family to get delicious chinese food,2.57143,2.71429,2.57143,-0.0
106_23,1953,403,go to movie theater,461,95,water the lawn,0.0,0.0,0.0,-0.57143
106_24,1448,301,wash,4262,865,have the car washed,2.57143,2.71429,3.0,0.71429
106_25,3628,738,go to college,3064,625,study for classes,2.85714,3.0,3.14286,1.71429
107_1,4041,821,have drinks with one's girlfriend/boyfriend at local brewing companies,842,174,have a date night,2.625,2.5,2.75,0.875
107_2,3703,753,shop for dog toys,3845,782,pick up one's 4 cats from the kennel,0.5,0.5,0.625,-0.875
107_3,1312,273,talk over breakfast,4750,963,exercise,0.0,0.0,0.0,-0.625
107_4,2573,527,take one's dog for a long walk,4551,923,take the dog outside,3.125,3.25,3.125,0.25
107_5,1909,394,work out in one's gym for about 2 hours,4656,944,hike a mountain,1.25,1.625,1.625,0.375
107_6,2664,545,cook and eat dinner for one's extended family,3486,710,talk to one's family,1.25,1.625,2.0,0.875
107_7,2502,513,sit on the porch and watch the sunset,1333,277,watch the wolf of wall street,0.5,0.75,0.75,-1.0
107_8,4735,960,go on a date,4658,944,go on a trip to a mountainous area,1.125,1.5,1.625,0.125
107_9,592,122,fix a leaky faucet,1952,403,fix laptop,1.75,1.5,2.5,0.5
107_10,1432,298,make cards,2938,600,make some birthday cards and send them to family and friends,3.375,3.375,3.5,1.5
107_11,382,79,go to the park with one's kids,2987,610,go outside with one's son to play ball,3.375,3.5,3.875,1.25
107_12,348,70,spend time with one's 10 month old,4408,894,do yoga,0.0,0.0,0.0,-1.0
107_13,1936,400,eat ice cream,899,186,eat at in-n-out burger,1.875,2.25,3.125,-0.0
107_14,2991,611,ride one's bike,46,9,ride around,2.875,3.0,3.0,0.875
107_15,2899,592,finish an application for a grant,2813,575,finish an illlustration,1.25,1.375,1.75,-0.125
107_16,4840,981,finish reading a book one has been working on for a long time,2007,414,finish a novel,2.75,2.5,3.0,1.0
107_17,4780,969,take one's 2 dogs for a walk,943,196,take the kids to school,0.5,0.375,0.875,0.375
107_18,371,75,watch the us open golf tournament,4772,967,watch youtube videos about books,0.75,0.75,1.625,-0.5
107_19,1624,337,have brunch with visiting friend,3477,708,have breakfast with a friend,3.25,2.875,3.5,1.25
107_20,3240,661,go to the renaissance festival,1547,322,run errands; pay rent,0.375,0.0,0.0,-0.375
107_21,2949,602,have a barbecue,729,151,have a picnic lunch and walk,2.25,2.125,2.375,0.125
107_22,3625,738,eat a sandwich,3518,716,homeschool one's child,0.0,0.0,0.0,-0.0
107_23,856,177,prepare for a garage sale,3305,674,clean out one's car of the accumulated stuff,1.25,1.375,1.5,0.375
107_24,1225,255,celebrate a birthday with a friend by baking cupcakes and have dinner together,2498,512,have a long chat with a friend one hasn't seen in awhile,0.75,1.0,1.75,0.375
107_25,1578,328,give 1 of one's labs a bath,3047,622,color in a book,0.0,0.0,0.25,-0.5
108_1,4184,850,work out at the gym,1542,321,do exercises in the pool,1.42857,1.85714,2.85714,1.14286
108_2,953,198,go to a one's husband's family reunion,4097,832,visit family and bond with them,2.57143,3.57143,3.28571,1.28571
108_3,2401,493,organize and pack one's dorm things into big containers,2123,437,do a ton of spring cleaning,1.71429,2.28571,1.85714,1.0
108_4,3239,660,do training for one's job,2181,449,sit through new product training,2.85714,3.14286,3.28571,1.71429
108_5,3022,617,tutor one's basketball players before their exam in history,2473,507,assist one's children with homework,2.42857,2.71429,2.85714,1.0
108_6,945,196,go to an aerobic dance class,2741,561,work out at gym,2.42857,3.0,3.28571,1.14286
108_7,330,67,dance with one's 3 yr old nephew to the radio,4275,868,dance,2.42857,3.42857,1.57143,0.71429
108_8,2606,534,talk to one's daughter on the phone,3356,684,sit and talk with one's son,3.28571,3.42857,3.85714,1.0
108_9,2467,506,mow the grass,2744,561,cut the grass,4.0,4.0,4.0,1.71429
108_10,1131,236,choreograph dances,4685,950,take a modern dance class,2.28571,2.85714,1.71429,0.71429
108_11,4138,840,drive a car,2060,425,drive one's boat on the lake with family,0.85714,0.85714,0.57143,0.42857
108_12,1006,209,go kayaking up the river,4481,909,go grocery shoppong,0.14286,0.14286,0.28571,-0.14286
108_13,1724,357,travel back from vacation,119,25,drive from sonoma to southern california,0.85714,1.0,0.71429,-0.0
108_14,3692,751,drive to missouri,297,60,go on a road trip,2.42857,2.85714,1.57143,0.85714
108_15,617,128,take long walks,318,64,go on a walk,3.57143,3.71429,3.42857,1.42857
108_16,4926,998,yoga class,1734,359,exercise in the gym for 1 hour,1.42857,2.57143,3.0,0.85714
108_17,1946,402,watch the blues brothers movie,2266,466,watch television at night before bed,2.42857,2.14286,2.85714,0.71429
108_18,2888,590,water the garden,3536,720,water the plants in one's vegetable garden,3.85714,3.85714,3.28571,1.71429
108_19,435,90,go to work at a restaurant,1981,409,pay a bill,0.28571,0.28571,1.14286,0.14286
108_20,2129,438,go to the gym and run a three miles on the treadmill,4738,960,swim laps,1.57143,1.57143,3.0,0.57143
108_21,3020,617,have dinner with girlfriend/boyfriend,2859,584,go out to the movies with a date,2.42857,2.28571,3.42857,1.14286
108_22,1648,342,work with clients,2859,584,go out to the movies with a date,0.0,0.0,0.0,-0.14286
108_23,1608,334,reread the first two books in the twilight series,1122,234,watch all of the lord of the rings movies,1.14286,1.57143,2.28571,-0.14286
108_24,4849,983,play with kids,4455,904,spend time with one's children,3.14286,3.28571,3.14286,1.42857
108_25,2430,499,study about manly p hall,3136,640,research philosophy and religion,1.28571,1.28571,1.57143,0.42857
109_1,3204,653,read a novel,2091,431,go to a party,0.42857,0.42857,1.14286,-1.42857
109_2,2976,608,rake leaves,4766,966,mow lawn,1.85714,3.14286,2.85714,1.28571
109_3,4287,870,send emails,754,156,email a friend,3.57143,3.57143,3.42857,1.42857
109_4,936,193,work six 8-hour days at a conference,2530,519,work during the weekdays,3.0,3.14286,3.42857,0.71429
109_5,4660,945,visit with an out of town friend,482,100,visit a sick friend,2.42857,2.57143,2.42857,0.85714
109_6,2550,523,study mathematics,3417,696,do free weights,0.14286,0.14286,0.14286,-0.42857
109_7,3224,657,make bed,2496,512,organize one's desk,0.57143,1.28571,1.57143,0.71429
109_8,169,35,spend time with one's nephews,2584,529,spend quality time talking with one's grown children to build strong family values and unity,2.71429,2.85714,3.28571,0.71429
109_9,2545,522,make lunches for one's son,2660,545,attend a recital at one's son's school,0.57143,1.0,2.57143,0.28571
109_10,1908,394,go to the grocery store to get milk,685,142,crochet for one's business,0.0,0.0,0.0,-0.42857
109_11,841,174,watch a fight,1202,250,play fighting games,1.14286,1.42857,2.0,1.14286
109_12,1638,340,work part-time as a dog walker,1725,358,go to a doctors appointment,0.0,0.0,0.0,-0.28571
109_13,3575,728,eat at restaurants,879,182,eat with coworkers,3.28571,2.42857,2.57143,0.85714
109_14,1740,361,attend school for one's associates degree,928,192,attend seminars,1.71429,1.57143,2.85714,1.0
109_15,4756,964,make a craigslist ad,3765,766,sell some items that one no longer uses or needs,2.42857,2.57143,3.0,1.42857
109_16,4896,992,study real estate,2655,544,come up with ways to make extra money,0.85714,1.0,2.0,0.57143
109_17,4591,931,play games with son,3813,775,go squirrel hunting,0.57143,0.71429,0.85714,-0.28571
109_18,3037,620,gym,4534,920,take a shower,0.0,0.57143,0.14286,0.85714
109_19,4423,897,swim,4738,960,swim laps,3.57143,3.28571,3.85714,1.71429
109_20,3307,674,read the sunday newspaper,4843,981,go to church on sunday,0.14286,0.71429,0.14286,-1.0
109_21,1669,346,walk with one's spouse,4908,994,cook dinner for one's spouse,0.28571,1.57143,2.28571,1.0
109_22,3411,695,do some stuff to get ready for cooler weather,2806,574,prepare meals,0.28571,0.14286,0.14286,-0.28571
109_23,4390,891,take baby to appointment,1725,358,go to a doctors appointment,3.0,3.14286,3.42857,0.71429
109_24,209,42,have a drive from buffalo,3501,713,take a short trip,3.0,3.0,3.42857,0.85714
109_25,2878,588,go to a doctor's appointment with one's mother,1588,330,help one's mother make dinner,0.85714,1.57143,3.0,0.85714
110_1,3924,798,go to the state fair with friends,2233,459,study abstract algebra,0.0,0.0,0.0,-1.625
110_2,762,157,workout at the gym,4029,819,workout to lose weight,3.5,3.5,3.375,1.375
110_3,1322,275,write part of a screenplay,2919,596,coach student actors at one's old high school,1.0,2.0,1.5,0.625
110_4,135,28,talk on the phone to one's lover,3780,769,sleep with one's lover,1.375,2.375,2.0,1.0
110_5,4737,960,collect market research,1132,236,learn online marketing,2.125,2.875,3.0,1.125
110_6,1810,375,brush one's teeth,1966,406,take a long relaxing shower,1.25,1.5,1.5,1.0
110_7,4301,873,have a date with one's spouse for lunch to enjoy vietnamese pho soup,4407,894,go to lunch with one's girlfriend/boyfriend,2.875,2.75,3.0,0.25
110_8,3502,713,walk and do jumping jacks,4502,913,do bodyweight exercises,2.5,2.875,3.25,1.0
110_9,1358,282,go to sleep no later than 11,4487,910,sleep late,2.0,2.375,1.875,-1.125
110_10,4067,826,go out to eat with one's family,4402,893,eat with friends,2.25,2.625,2.875,-0.375
110_11,1222,254,swim 1 mile in a pool,3652,743,go swimming with one's children,1.75,2.0,2.0,0.125
110_12,702,145,weight lifting,4029,819,workout to lose weight,3.0,3.0,3.125,0.375
110_13,1455,303,swim with one's daughter,1801,373,play fallout 3,0.25,0.25,0.25,-1.125
110_14,2088,430,make money,404,84,paint for leisure,0.125,0.125,0.125,-0.875
110_15,3765,766,sell some items that one no longer uses or needs,1611,335,sell a piece of equipment,2.625,2.625,2.75,1.0
110_16,4080,829,write in journal,1039,216,write an essay,2.375,2.375,2.0,0.625
110_17,4731,959,go for a run,168,34,walk 10 miles for exercise,2.75,2.5,2.625,0.875
110_18,2080,429,shop at walmart,4792,971,eat out at a restaurant with partner,0.25,0.25,0.375,-0.5
110_19,3851,783,go shopping,3640,741,change diapers,0.0,0.0,0.0,-0.375
110_20,3682,749,bake cinnamon rolls,1492,310,cook dinner consisting of baked chicken with mashed potatoes and spinach,2.5,2.75,2.625,0.5
110_21,4510,915,go to the milwaukee art museum,3386,690,go on a museum date,3.0,3.375,2.375,1.125
110_22,228,46,shop at flea market,1234,257,go shopping at the flea market,4.0,4.0,4.0,1.25
110_23,4137,840,play wallyball,4153,843,play volleyball,2.625,2.375,3.0,0.375
110_24,4793,971,watch tv with partner,3166,646,watch tv at night,3.0,3.375,3.0,0.625
110_25,3655,744,play with one's children,2355,484,take one's daughters dress shopping,1.375,1.75,1.5,0.75
111_1,2236,460,go to the library to return books and take out new books,3935,800,go to the bookstore,2.88889,2.88889,3.22222,0.33333
111_2,2503,513,walk one's two dogs around the neighborhood,4780,969,take one's 2 dogs for a walk,3.44444,3.22222,3.44444,1.44444
111_3,1940,401,go to work everyday,1339,278,play video games on one's xbox,0.0,0.11111,0.0,-1.33333
111_4,3273,667,go to gym,2217,456,go to a far away place for religious reasons,0.11111,0.11111,0.11111,-0.77778
111_5,3891,791,watch a lunar eclipse,4566,926,stargaze with one's telescope,2.22222,2.33333,2.88889,0.88889
111_6,662,137,go to one's place of worship,1945,402,practice guitar for church,1.22222,1.55556,2.22222,1.11111
111_7,1928,398,go out on a date with one's spouse,1822,377,make supper for one's spouse,2.0,2.11111,2.77778,-0.11111
111_8,4679,949,complete an online homework assignment,1456,303,work as a therapist in a prison,0.0,0.0,0.11111,-0.66667
111_9,3927,798,go to a bar,818,169,drink a beer in the kitchen,1.77778,1.88889,2.88889,0.22222
111_10,484,100,attend a seminar,723,150,attend a conference for work,3.22222,3.0,3.33333,1.22222
111_11,3900,793,draw at home,3314,676,play xbox360,0.22222,0.33333,0.88889,-0.55556
111_12,4149,843,travel,3340,681,travel by train,2.66667,2.77778,3.33333,1.22222
111_13,4729,959,go out for ice cream,623,129,cash a check,0.0,0.0,0.11111,-0.22222
111_14,2632,539,have a conversation with sister,1072,222,tutor one's sister in organic chemistry,1.44444,1.33333,1.11111,0.88889
111_15,4045,822,watch a movie in theaters,1342,279,watch tv shows,2.22222,2.11111,2.77778,-0.55556
111_16,3754,764,work on the house,4048,822,cook meals for the week,0.55556,0.55556,1.11111,0.11111
111_17,3471,707,go to the barbershop,2767,566,comb one's hair,1.66667,1.77778,1.66667,-0.0
111_18,4488,910,shop for groceries,4108,834,go to the local bookstore to read books and look at things to buy,0.66667,0.55556,0.77778,-0.11111
111_19,4933,999,coach soccer,4882,989,play soccer,2.22222,2.44444,2.88889,0.66667
111_20,1191,248,go to a coffee shop,468,97,have coffee with a friend at mcdonalds,2.88889,2.77778,3.11111,0.33333
111_21,3026,618,chillax,1500,312,go to beach to relax,2.55556,2.33333,2.88889,0.77778
111_22,1656,344,play candy crush saga on one's kindle fire,2052,423,surf the web on one's ipad,1.11111,1.33333,1.77778,-0.33333
111_23,3339,681,visit with friends,904,187,play with legos,0.11111,0.22222,0.33333,-0.55556
111_24,4057,824,complete a difficult task for a project at work,4556,924,research,1.33333,1.55556,1.66667,-0.0
111_25,2856,584,go fishing on one's boat,639,132,buy one's a dad a fishing pole,1.55556,1.66667,1.88889,0.33333
112_1,4779,969,have a bbq with one's family--have brisket,4812,975,eat dinner with one's family and friend,3.28571,3.71429,3.71429,1.14286
112_2,4509,915,play borderlands on the xbox 360,3227,658,watch videos,0.71429,0.85714,1.0,-0.42857
112_3,2171,447,feed the dogs and cat,4409,895,take care of pets,3.42857,3.57143,3.71429,1.71429
112_4,4451,903,research new benefits information for the upcoming open enrollment period of one's spouse's employer,2995,612,email medical bill collectors about insurance billing,0.85714,0.71429,0.85714,0.14286
112_5,813,168,take the kids out for chicken dinner,2545,522,make lunches for one's son,1.42857,1.28571,1.85714,-0.57143
112_6,4462,905,play a video game,3314,676,play xbox360,3.42857,3.57143,3.71429,1.57143
112_7,3979,809,golf,371,75,watch the us open golf tournament,2.71429,3.71429,3.42857,1.0
112_8,1251,260,research cities to move to,4013,815,pack clothes to move,2.28571,2.71429,2.85714,1.14286
112_9,4730,959,go to work at one's office,2380,489,go to office to work,3.57143,3.57143,3.57143,1.42857
112_10,1416,294,learn to program,1993,411,complete computer work,2.57143,2.71429,3.0,1.28571
112_11,331,67,talk to my mother-in-law,816,168,spend an afernoon hanging out with one's mother-in-law,3.57143,3.71429,3.85714,1.71429
112_12,4372,887,study spanish,3074,627,travel internationally,1.0,1.28571,1.0,-0.0
112_13,2777,568,play call of duty,3059,624,go to family doctor for note to be excused from jury duty and medication refills,0.28571,0.28571,0.28571,-0.42857
112_14,2628,538,help brother with homework,4919,997,have a conversation with one's brother,1.85714,2.14286,2.28571,1.0
112_15,819,170,make handprint fish,4897,992,read the newspaper,0.0,0.0,0.14286,0.42857
112_16,2655,544,come up with ways to make extra money,2089,430,do business,2.42857,2.57143,3.0,1.28571
112_17,685,142,crochet for one's business,4450,903,mow the lawn,0.14286,0.28571,0.28571,-0.28571
112_18,1825,378,go to school,4572,927,walk one's son to school,1.85714,2.0,2.0,0.71429
112_19,4915,996,pray to the lord,45,9,go to church services,3.42857,3.57143,3.57143,1.71429
112_20,2099,432,do work/homework,1480,308,study for school,3.14286,3.42857,3.85714,1.42857
112_21,2295,472,walk dog,3135,640,walk to the store for groceries,1.14286,0.85714,0.71429,0.85714
112_22,4487,910,sleep late,1752,363,rest in bed,2.85714,3.0,2.28571,1.14286
112_23,2806,574,prepare meals,801,165,pick vegetables from the garden,1.85714,2.28571,2.42857,1.0
112_24,3300,673,share a locker with a friend who do not have a lock,4562,925,balance one's bank account,0.0,0.14286,0.0,-0.0
112_25,4215,856,upgrade one's pc,3230,659,work on computer,2.14286,2.28571,2.0,0.57143
113_1,611,126,go to movies to see jurassic world,2253,463,watch a movie on tv,2.0,2.42857,2.0,-0.85714
113_2,2927,598,scrub the walls in the house,4662,945,clean the shower,2.57143,2.28571,3.0,0.57143
113_3,4073,827,take a marital arts class,3185,650,do some exercise,1.57143,2.14286,1.57143,0.71429
113_4,1313,273,watch television with one's spouse,2821,577,go to the grand canyon,0.0,0.0,0.28571,-0.42857
113_5,170,35,get work done at home,954,198,sit in one's office at home where one works remotely,2.28571,2.57143,2.14286,1.14286
113_6,4083,829,jog,2320,477,go to the gym to work out,2.28571,2.57143,3.14286,0.14286
113_7,4831,979,mow,4065,826,do yard work,3.0,3.14286,3.14286,1.71429
113_8,2992,611,eat pizza,1393,289,eat pineapple upside down cake,1.71429,2.0,2.28571,-0.0
113_9,3337,680,text with friends,4599,933,talk to friends on skype,2.14286,2.57143,2.71429,0.42857
113_10,6,1,play with one's kid,2894,591,"punch a punching bag 40,000 times",0.0,0.0,0.0,-0.42857
113_11,4059,825,make jewelry,3314,676,play xbox360,0.14286,0.42857,0.57143,-0.85714
113_12,2146,442,grill food to eat through the week,1182,246,grill hamburgers,3.0,3.28571,2.85714,1.57143
113_13,4650,943,clean one's bath tub,1720,357,clean swimming pool,1.57143,2.14286,2.0,0.57143
113_14,610,126,go shopping for food,2501,513,meet friends at a local restaurant for food and drinks,1.14286,1.28571,1.28571,-0.28571
113_15,212,43,watch tour de france on tv,4164,846,watch one's son play hockey,1.28571,1.42857,1.0,-0.42857
113_16,3054,623,share pleasures with one's spouse,3257,664,color with crayons,0.42857,0.28571,0.57143,-0.28571
113_17,2897,592,meet with one's boss one on one,4536,920,relax at home,0.28571,0.28571,0.85714,-0.71429
113_18,404,84,paint for leisure,3902,793,take an art clasa,2.0,2.85714,2.57143,1.57143
113_19,4796,972,have a picnic,2664,545,cook and eat dinner for one's extended family,1.85714,2.0,2.0,0.28571
113_20,2049,422,attend birthday party,3432,699,celebrate an anniversary by ordering take out and watching a movie,1.28571,1.42857,1.42857,-0.28571
113_21,4864,986,play video game,3095,632,play video games with spouse via lan,3.14286,3.42857,3.0,1.85714
113_22,4885,990,go on walks with one's family,3235,660,eat 2 bags of chips,0.0,0.0,0.14286,-0.42857
113_23,2691,551,pull weeds,2135,440,do a lot of weeding,3.28571,3.28571,3.28571,1.28571
113_24,3385,690,have a nice dinner and bible study with friends,270,55,go to church with one's family,2.71429,2.85714,3.0,1.85714
113_25,2539,520,listen to nrp news,777,160,watch a ufc fight,0.71429,0.57143,0.57143,-0.14286
114_1,309,62,get new insurance for one's car,4218,856,have one's car inspected,0.16667,1.33333,1.66667,1.33333
114_2,1771,367,go on a run,2502,513,sit on the porch and watch the sunset,0.16667,0.0,0.5,-0.33333
114_3,1075,224,research jobs,1251,260,research cities to move to,1.0,1.33333,1.16667,1.0
114_4,4068,826,go biking with one's son,4219,857,go on a bike ride,3.0,3.16667,2.83333,0.66667
114_5,582,120,go to see jurassic world,3917,796,go to see a movie,3.0,3.16667,3.33333,1.0
114_6,2164,445,do mandala coloring,1167,243,go to a dodgers game,0.33333,0.33333,0.5,-0.66667
114_7,462,95,cook dinner for one's spouse and oneself,3884,790,have a date night with spouse,2.66667,2.66667,3.16667,0.83333
114_8,3123,637,eat lunch with coworkers,2855,584,go to a coworker's party at her house,1.33333,1.33333,1.5,1.0
114_9,4688,950,go to see a national art museum in copenhagen,1810,375,brush one's teeth,0.0,0.0,0.0,0.33333
114_10,2833,579,volunteer at the local animal shelter,1747,362,play hockey,0.0,0.0,0.0,-0.16667
114_11,2267,466,clean up the living room,2182,449,clean the pool,1.5,2.0,2.0,1.0
114_12,4590,931,mow one acre of land,188,38,landscape one's yard,1.83333,2.5,2.66667,1.33333
114_13,3737,760,walk one's dog along the beach,159,33,take a walk and enjoy the weather,2.16667,2.5,2.16667,0.66667
114_14,3778,768,run for 10k training,3724,758,lift weights in the gym,1.66667,1.83333,2.66667,1.16667
114_15,4449,903,go on a job interview,2731,559,look online for jobs,2.33333,2.83333,3.5,1.66667
114_16,4104,834,go to a water park,4901,993,go to the beach,1.83333,2.33333,3.0,1.0
114_17,3058,624,call a sewing machine repair service,2081,429,sew / quilt,1.83333,2.5,2.66667,1.33333
114_18,4356,884,garden and cook things from the garden,2691,551,pull weeds,2.0,2.5,2.83333,1.5
114_19,1091,227,go to the park with one's family,340,69,go to dinner with one's family,2.0,2.5,3.16667,1.5
114_20,2717,556,have dinner at the dining room table with one's family,815,168,have ice cream with the family,2.33333,2.83333,3.33333,1.16667
114_21,58,12,shop at a retail establishment,4166,846,shop online,1.66667,2.33333,2.83333,-1.0
114_22,43,8,go to a sit down resturant,2050,423,go to a fast food restaurant with friends and take food to go,1.33333,2.0,2.0,-0.66667
114_23,1349,280,start strength training,4209,855,go running,2.0,2.66667,2.33333,1.0
114_24,3355,684,watch one's 3-year-old grandson,513,106,watch one's niece play tball,1.5,2.16667,2.33333,0.33333
114_25,1547,322,run errands; pay rent,4496,912,do weekend chores,2.33333,2.83333,2.83333,1.66667
115_1,3901,793,paint the kitchen,4891,991,work on remodeling rooms in one's home,2.25,2.5,2.75,0.75
115_2,2915,596,make flashcards for one's speech midterm,4062,825,help kids w/homework,0.75,1.5,1.5,0.5
115_3,4428,898,read books about social issues,4047,822,resume reading a non-fiction book,1.0,1.5,1.0,0.5
115_4,1254,261,cook a pasta dish with beans,801,165,pick vegetables from the garden,0.0,0.5,0.0,-0.0
115_5,2972,607,smoke,1963,405,get sick and go to the doctor,0.25,1.25,0.25,0.5
115_6,924,191,get passenger food catering ready for the next flight,633,131,go to work at dunkin donuts at 5 am to serve coffee all day,0.5,1.0,1.25,0.5
115_7,3644,742,play games online,4784,970,play world of warcraft,2.0,2.25,2.75,1.0
115_8,4323,877,eat dinner,4477,908,do some weed eating,1.5,1.5,1.75,0.5
115_9,965,200,work online and research health articles,3225,658,write paper,1.5,1.75,2.0,0.25
115_10,235,48,go to the friend of the court,4528,918,go to ss office,0.5,1.0,1.0,-0.5
115_11,980,203,go to an awards ceremony for one's child,4811,975,help one's oldest son with his math homework,0.5,1.25,1.25,0.25
